customer_id,recency,frequency,monetary,Segment
CS1112,1/14/2015,15,1012,P0
CS1113,2/9/2015,20,1490,P0
CS1114,2/12/2015,19,1432,P0
CS1115,3/5/2015,22,1659,P0
CS1116,8/25/2014,13,857,P2
CS1117,7/2/2014,17,1185,P0
CS1118,3/14/2015,15,1011,P0
CS1119,3/5/2015,15,1158,P0
CS1120,3/6/2015,24,1677,P0
CS1121,2/3/2015,26,1524,P0
CS1122,2/2/2015,16,1156,P0
CS1123,11/27/2014,19,1331,P0
CS1124,1/2/2015,18,1127,P0
CS1125,2/19/2015,12,885,P2
CS1126,9/18/2014,19,1165,P0
CS1127,2/5/2015,24,1676,P0
CS1128,12/31/2014,26,1921,P0
CS1129,11/30/2014,12,853,P2
CS1130,3/13/2015,19,1185,P0
CS1131,2/24/2015,14,998,P2
CS1132,2/17/2015,16,1074,P0
CS1133,2/21/2015,19,1413,P0
CS1134,11/27/2014,16,1166,P0
CS1135,4/15/2014,20,1267,P0
CS1136,2/17/2015,20,1339,P0
CS1137,1/20/2015,20,1380,P0
CS1138,3/3/2015,24,1863,P0
CS1139,11/25/2014,18,1245,P0
CS1140,2/16/2015,20,1434,P0
CS1141,1/22/2015,25,1778,P0
CS1142,10/6/2014,22,1847,P0
CS1143,8/16/2014,16,1255,P0
CS1144,10/11/2014,18,1222,P0
CS1145,10/25/2014,27,1967,P0
CS1146,3/9/2015,16,1117,P0
CS1147,3/12/2015,15,1004,P0
CS1148,12/23/2014,25,1733,P0
CS1149,3/1/2015,25,1768,P0
CS1150,12/17/2014,14,1075,P2
CS1151,2/18/2015,16,1040,P0
CS1152,3/10/2015,20,1457,P0
CS1153,2/10/2015,18,1274,P0
CS1154,3/16/2015,23,1436,P0
CS1155,11/10/2014,19,1317,P0
CS1156,3/7/2015,20,1445,P0
CS1157,2/25/2015,21,1427,P0
CS1158,12/4/2014,18,1159,P0
CS1159,2/8/2015,22,1439,P0
CS1160,1/31/2015,20,1380,P0
CS1161,3/12/2015,22,1389,P0
CS1162,2/25/2015,24,1815,P0
CS1163,2/6/2015,18,1290,P0
CS1164,2/27/2015,26,2037,P0
CS1165,12/12/2014,20,1335,P0
CS1166,12/8/2014,19,1507,P0
CS1167,11/17/2014,16,1132,P0
CS1168,11/25/2014,14,916,P2
CS1169,12/20/2014,18,1175,P0
CS1170,3/13/2015,18,1272,P0
CS1171,3/15/2015,22,1555,P0
CS1172,7/1/2014,18,1306,P0
CS1173,1/26/2015,21,1429,P0
CS1174,2/21/2015,23,1554,P0
CS1175,1/23/2015,17,1106,P0
CS1176,2/15/2015,18,1401,P0
CS1177,2/6/2015,17,1310,P0
CS1178,2/13/2015,22,1535,P0
CS1179,1/29/2015,29,2091,P0
CS1180,1/21/2015,23,1637,P0
CS1181,1/18/2015,27,1893,P0
CS1182,12/4/2014,24,1749,P0
CS1183,3/4/2015,26,1967,P0
CS1184,3/16/2015,28,1999,P0
CS1185,3/5/2015,27,1801,P0
CS1186,1/23/2015,19,1439,P0
CS1187,2/22/2015,22,1559,P0
CS1188,3/12/2015,16,1010,P0
CS1189,1/12/2015,23,1564,P0
CS1190,2/4/2015,18,1324,P0
CS1191,1/9/2015,21,1522,P0
CS1192,2/6/2015,18,1313,P0
CS1193,6/6/2014,15,953,P2
CS1194,3/7/2015,22,1505,P0
CS1195,2/24/2015,20,1378,P0
CS1196,3/15/2015,23,1559,P0
CS1197,10/6/2014,17,1180,P0
CS1198,3/5/2015,22,1571,P0
CS1199,11/12/2014,20,1344,P0
CS1200,9/27/2014,21,1667,P0
CS1201,1/23/2015,19,1375,P0
CS1202,1/21/2015,20,1331,P0
CS1203,1/27/2015,21,1536,P0
CS1204,1/28/2015,17,1023,P0
CS1205,3/13/2015,17,1103,P0
CS1206,10/10/2014,24,1514,P0
CS1207,2/5/2015,18,1310,P0
CS1208,2/9/2015,15,1000,P2
CS1209,3/14/2015,27,1809,P0
CS1210,12/8/2014,21,1546,P0
CS1211,1/18/2015,18,1218,P0
CS1212,10/9/2014,17,1200,P0
CS1213,11/9/2014,18,1191,P0
CS1214,3/9/2015,19,1289,P0
CS1215,11/3/2014,35,2362,P0
CS1216,10/28/2014,24,1798,P0
CS1217,12/29/2014,20,1431,P0
CS1218,2/7/2015,24,1687,P0
CS1219,3/12/2015,21,1447,P0
CS1220,2/24/2015,9,720,P2
CS1221,10/4/2014,19,1372,P0
CS1222,1/30/2015,21,1585,P0
CS1223,1/22/2015,17,1299,P0
CS1224,11/21/2014,8,578,P2
CS1225,1/28/2015,17,999,P2
CS1226,1/21/2015,18,1213,P0
CS1227,2/19/2015,27,1783,P0
CS1228,1/29/2015,19,1368,P0
CS1229,2/17/2015,19,1194,P0
CS1230,3/11/2015,20,1415,P0
CS1231,10/13/2014,23,1750,P0
CS1232,12/11/2014,20,1452,P0
CS1233,11/21/2014,21,1374,P0
CS1234,3/12/2015,21,1349,P0
CS1235,10/26/2014,22,1507,P0
CS1236,2/2/2015,22,1668,P0
CS1237,8/28/2014,24,1823,P0
CS1238,2/24/2015,26,1808,P0
CS1239,7/7/2014,11,771,P2
CS1240,3/13/2015,30,2126,P0
CS1241,2/16/2015,27,1818,P0
CS1242,1/16/2015,13,943,P2
CS1243,2/6/2015,17,1087,P0
CS1244,10/26/2014,21,1492,P0
CS1245,1/3/2015,19,1321,P0
CS1246,5/25/2014,20,1431,P0
CS1247,2/16/2015,28,1773,P0
CS1248,3/7/2015,17,1172,P0
CS1249,12/17/2014,23,1846,P0
CS1250,3/4/2015,24,1625,P0
CS1251,3/14/2015,14,1035,P2
CS1252,11/29/2014,18,1411,P0
CS1253,1/1/2015,17,1399,P0
CS1254,3/13/2015,21,1599,P0
CS1255,1/8/2015,29,1998,P0
CS1256,8/15/2014,19,1304,P0
CS1257,2/19/2015,15,1050,P0
CS1258,2/19/2015,22,1458,P0
CS1259,9/29/2014,22,1679,P0
CS1260,10/21/2014,26,1941,P0
CS1261,12/19/2014,26,1943,P0
CS1262,12/22/2014,16,1040,P0
CS1263,3/13/2015,14,1096,P2
CS1264,3/13/2015,12,959,P2
CS1265,1/24/2015,14,1128,P2
CS1266,2/5/2015,15,1076,P0
CS1267,11/26/2014,26,1812,P0
CS1268,1/10/2015,27,1946,P0
CS1269,1/7/2015,19,1272,P0
CS1270,2/17/2015,27,1990,P0
CS1271,2/9/2015,25,1683,P0
CS1272,2/27/2015,19,1279,P0
CS1273,2/17/2015,25,1800,P0
CS1274,3/11/2015,20,1381,P0
CS1275,3/16/2015,18,1321,P0
CS1276,2/17/2015,21,1505,P0
CS1277,12/18/2014,17,1142,P0
CS1278,11/27/2014,22,1572,P0
CS1279,1/28/2015,21,1411,P0
CS1280,3/3/2015,21,1262,P0
CS1281,3/4/2015,23,1715,P0
CS1282,11/4/2014,15,1014,P0
CS1283,2/25/2015,22,1683,P0
CS1284,3/11/2015,24,1836,P0
CS1285,2/19/2015,24,1778,P0
CS1286,1/7/2015,21,1511,P0
CS1287,9/7/2014,20,1440,P0
CS1288,7/8/2014,17,1125,P0
CS1289,3/13/2015,19,1355,P0
CS1290,12/10/2014,20,1625,P0
